code,name,subcat,cat,cat_code
5403,Human Services And Community Organization,OTH,ARTS,ARTS/OTH
5404,Social Work,OTH,ARTS,ARTS/OTH
5500,General Social Sciences,SOC,SCI,SCI/SOC
5501,Economics,SOC,SCI,SCI/SOC
5502,Anthropology And Archeology,SOC,SCI,SCI/SOC
5503,Criminology,SOC,SCI,SCI/SOC
5504,Geography,SOC,SCI,SCI/SOC
5505,International Relations,SOC,SCI,SCI/SOC
5506,Political Science And Government,SOC,SCI,SCI/SOC
5507,Sociology,SOC,SCI,SCI/SOC
5599,Miscellaneous Social Sciences,SOC,SCI,SCI/SOC
5601,Construction Services,OTH,ARTS,ARTS/OTH
5701,"Electrical, Mechanical, And Precision Technologies And Production",OTH,ARTS,ARTS/OTH
5901,Transportation Sciences And Technologies,OTH,ARTS,ARTS/OTH
6000,Fine Arts,ART,ARTS,ARTS/ART
6001,Drama And Theater Arts,ART,ARTS,ARTS/ART
6002,Music,ART,ARTS,ARTS/ART
6003,Visual And Performing Arts,ART,ARTS,ARTS/ART
6004,Commercial Art And Graphic Design,ART,ARTS,ARTS/ART
6005,Film Video And Photographic Arts,ART,ARTS,ARTS/ART
6006,Art History And Criticism,ART,ARTS,ARTS/ART
6007,Studio Arts,ART,ARTS,ARTS/ART
6099,Miscellaneous Fine Arts,ART,ARTS,ARTS/ART
6100,General Medical And Health Services,SCIR,SCIR,SCIR/SCIR
6102,Communication Disorders Sciences And Services,SCIR,SCIR,SCIR/SCIR
6103,Health And Medical Administrative Services,SCIR,SCIR,SCIR/SCIR
6104,Medical Assisting Services,SCIR,SCIR,SCIR/SCIR
6105,Medical Technologies Technicians,SCIR,SCIR,SCIR/SCIR
6106,Health And Medical Preparatory Programs,SCIR,SCIR,SCIR/SCIR
6107,Nursing,SCIR,SCIR,SCIR/SCIR
6108,Pharmacy Pharmaceutical Sciences And Administration,SCIR,SCIR,SCIR/SCIR
6109,Treatment Therapy Professions,SCIR,SCIR,SCIR/SCIR
6110,Community And Public Health,SCIR,SCIR,SCIR/SCIR
6199,Miscellaneous Health Medical Professions,SCIR,SCIR,SCIR/SCIR
6200,General Business,BUS,BUS,BUS/BUS
6201,Accounting,BUS,BUS,BUS/BUS
6202,Actuarial Science,BUS,BUS,BUS/BUS
6203,Business Management And Administration,BUS,BUS,BUS/BUS
6204,Operations Logistics And E-Commerce,BUS,BUS,BUS/BUS
6205,Business Economics,BUS,BUS,BUS/BUS
6206,Marketing And Marketing Research,BUS,BUS,BUS/BUS
6207,Finance,BUS,BUS,BUS/BUS
6209,Human Resources And Personnel Management,BUS,BUS,BUS/BUS
6210,International Business,BUS,BUS,BUS/BUS
6211,Hospitality Management,BUS,BUS,BUS/BUS
6212,Management Information Systems And Statistics,BUS,BUS,BUS/BUS
6299,Miscellaneous Business & Medical Administration,BUS,BUS,BUS/BUS
6402,History,LIB,ARTS,ARTS/LIB
6403,United States History,LIB,ARTS,ARTS/LIB
